koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_eccen,koi_impact,koi_num_transits,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,koi_gmag,koi_rmag,koi_jmag
CONFIRMED,29.1598615,4.803,4.8800e+02,0.02018,1.91,0.1847,89.38,524,17.85,0,0.3619,,11.6,0,0,0,0,5485,4.556,0.867,0.986,,15.403,16.048,15.349,13.997
FALSE POSITIVE,1.540397253,2.1541,8.1610e+02,0.257087,25.69,0.0264,51.56,1470,1105.68,0,1.225,842,38.8,0,0,1,1,5663,4.53,0.915,1.034,,15.974,16.573,15.894,14.629
FALSE POSITIVE,2.99025443,5.414,5.8920e+02,0.021279,1.7,0.0367,89.81,918,168.45,0,0.014,454,48.5,0,0,1,1,4667,4.578,0.731,0.737,,15.842,16.828,15.856,14.024
CONFIRMED,1.594745374,1.9604,1.5044e+04,0.115879,11.3,0.0258,85.25,1539,1329.42,0,0.514,762,1009.3,0,0,0,0,5934,4.491,0.893,0.901,,15.53,16.028,15.49,14.35
CONFIRMED,4.783002698,2.335,1.0087e+03,0.028315,2.5,0.0535,89.99,886,145.48,0,0.003,281,70.6,0,0,0,0,5170,4.574,0.807,0.891,,15.119,15.847,15.037,13.643
CONFIRMED,20.50588921,4.0595,2.1055e+03,0.041039,3.41,0.1326,89.62,518,17.06,0,0.26,69,78.5,0,0,0,0,4905,4.544,0.761,0.739,,15.398,16.241,15.343,13.842
CONFIRMED,3.340218842,1.9104,1.6326e+03,0.037683,2.03,0.0348,87.85,656,43.73,0,0.466,398,71.6,0,0,0,0,3950,4.754,0.493,0.502,,15.954,17.187,15.978,13.952
FALSE POSITIVE,2.507089906,2.0067,1.3392e+03,0.295115,30.26,0.0365,67.79,1326,730.47,0,1.255,408,64.9,0,1,1,0,5926,4.506,0.939,1.03,,15.555,16.109,15.512,14.3
CONFIRMED,18.64932728,4.4056,8.9360e+02,0.027096,3.12,0.139,89.86,701,57.13,0,0.08,71,46.1,0,0,0,0,5775,4.405,1.053,1.026,,15.386,15.867,15.354,14.252
CONFIRMED,4.90144976,4.1654,1.4070e+02,0.011136,1.7,0.0586,86.1,1262,598.74,0,0.529,193,50.6,0,0,0,0,5847,4.191,1.402,1.113,,12.487,12.904,12.427,11.392
CONFIRMED,9.75192101,4.793,4.1800e+02,0.024042,2.76,0.0902,80.97,870,135.66,0,0.949,132,28.5,0,0,0,0,5775,4.405,1.053,1.026,,15.386,15.867,15.354,14.252
CONFIRMED,38.5576546,5.794,9.9300e+02,0.03498,4.02,0.2255,87.91,550,21.71,0,0.911,37,39.7,0,0,0,0,5775,4.405,1.053,1.026,,15.386,15.867,15.354,14.252
CONFIRMED,3.525632539,2.59959,2.2335e+04,0.13372,11.58,0.0431,89.41,975,213.12,0,0.12,382,1996.7,0,0,0,0,5150,4.572,0.793,0.855,,15.224,15.961,15.142,13.767
CANDIDATE,34.84398644,2.9315,4.5236e+03,0.080046,7.61,0.1971,88.92,511,16.1,0,0.934,40,76.8,0,0,0,0,5509,4.482,0.871,0.84,,15.684,16.307,15.646,14.363
CONFIRMED,7.748094239,3.5957,2.4721e+03,0.046615,5.52,0.081,88.02,964,204.39,0,0.517,133,113.2,0,0,0,0,5973,4.439,1.085,1.181,,15.67,16.254,15.609,14.412
CONFIRMED,23.96793669,3.827,1.1823e+03,0.03141,1.8,0.1322,89.47,329,2.77,0,0.416,43,27.5,0,0,0,0,3747,4.728,0.524,0.536,,15.414,16.862,15.508,13.224
CONFIRMED,8.29561738,1.3421,8.2430e+02,0.03178,1.82,0.0652,87.95,469,11.39,0,0.888,119,17.9,0,0,0,0,3747,4.728,0.524,0.536,,15.414,16.862,15.508,13.224
CONFIRMED,8.11437482,2.2736,1.5580e+03,0.037204,2.1,0.0649,88.61,460,10.55,0,0.573,167,56.4,0,0,0,0,3692,4.753,0.517,0.553,,15.877,17.474,16.091,13.405
FALSE POSITIVE,38.03672948,4.34617,8.2872e+04,0.27018,27.5,0.2252,89.63,500,14.81,0,0.501,26,1300,0,1,0,0,5575,4.521,0.932,1.051,,15.472,16.078,15.4,14.223
CANDIDATE,4.64090031,35.512,2.4506e+03,0.333559,30.09,0.0503,19.01,1155,421.08,0,1.28,227,296.9,0,0,0,0,6463,4.5,0.826,0.786,,15.27,15.662,15.249,14.224
FALSE POSITIVE,3.747838198,5.0642,6.1600e+02,0.151387,13.65,0.046,53.12,1031,266.76,0,1.121,358,138.2,0,1,1,1,5514,4.569,0.826,0.926,,13.496,14.038,13.426,12.236
CONFIRMED,14.74914825,6.0995,4.3020e+02,0.018864,2.89,0.1221,89.47,874,137.91,0,0.173,72,107.4,0,0,0,0,5847,4.191,1.402,1.113,,12.487,12.904,12.427,11.392
CONFIRMED,21.81295996,4.3791,1.1754e+03,0.030952,3.38,0.1495,89.92,639,39.33,0,0.053,45,37.8,0,0,0,0,5601,4.41,0.999,0.934,,15.54,16.187,15.492,14.204
FALSE POSITIVE,7.91936937,3.3148,1.5148e+04,0.121984,10.34,0.0737,87.3,814,104,0,0.733,132,389,0,1,0,0,5690,4.588,0.776,0.852,,15.805,16.346,15.757,14.482
CANDIDATE,1.028436523,1.8606,8.0980e+03,0.673134,72.77,0.0197,57.3,1947,3400.48,0,1.5734,,89.6,0,0,0,0,6228,4.428,0.99,0.959,,15.202,15.662,15.167,14.019
CONFIRMED,15.37562369,3.3169,1.5337e+04,0.12103,11.01,0.1121,88.73,600,30.54,0,0.692,50,166,0,0,0,0,4986,4.496,0.833,0.793,,16.422,17.227,16.367,14.877
CONFIRMED,8.10363271,3.161,8.8790e+02,0.026361,2.11,0.0712,89.87,687,52.82,0,0.047,131,39.3,0,0,0,0,4861,4.574,0.732,0.733,,15.289,16.117,15.221,13.749
CONFIRMED,4.71510843,2.506,4.1750e+02,0.018268,1.46,0.0496,88.96,823,108.84,0,0.258,208,21.3,0,0,0,0,4861,4.574,0.732,0.733,,15.289,16.117,15.221,13.749
